Region,Fecha,Fallecidos,Nuevos Fallecidos
Antofagasta,2020-01-07,165.0,0.0
Antofagasta,2020-02-10,503.0,338.0
Antofagasta,2020-02-11,565.0,62.0
Antofagasta,2020-03-08,366.0,-199.0
Antofagasta,2020-04-09,460.0,94.0
Antofagasta,2020-04-12,594.0,134.0
Antofagasta,2020-05-07,198.0,-396.0
Antofagasta,2020-05-10,510.0,312.0
Antofagasta,2020-06-11,567.0,57.0
Antofagasta,2020-07-08,381.0,-186.0
Antofagasta,2020-07-09,468.0,87.0
Antofagasta,2020-07-12,597.0,129.0
Antofagasta,2020-09-10,512.0,-85.0
Antofagasta,2020-09-11,568.0,56.0
Antofagasta,2020-10-07,230.0,-338.0
Antofagasta,2020-10-08,391.0,161.0
Antofagasta,2020-11-09,480.0,89.0
Antofagasta,2020-11-12,599.0,119.0
Antofagasta,2020-12-06,64.0,-535.0
Antofagasta,2020-12-10,519.0,455.0
Antofagasta,2021-01-01,618.0,99.0
Antofagasta,2021-01-02,696.0,78.0
Antofagasta,2021-01-03,818.0,122.0
Antofagasta,2021-01-10,1435.0,617.0
Antofagasta,2021-01-11,1473.0,38.0
Antofagasta,2021-02-04,957.0,-516.0
Antofagasta,2021-02-07,1241.0,284.0
Antofagasta,2021-02-08,1326.0,85.0
Antofagasta,2021-03-05,1060.0,-266.0
Antofagasta,2021-03-09,1400.0,340.0
Antofagasta,2021-03-12,1526.0,126.0
Antofagasta,2021-04-01,620.0,-906.0
Antofagasta,2021-04-06,1151.0,531.0
Antofagasta,2021-04-10,1440.0,289.0
Antofagasta,2021-05-02,712.0,-728.0
Antofagasta,2021-05-03,839.0,127.0
Antofagasta,2021-05-04,970.0,131.0
Antofagasta,2021-05-07,1255.0,285.0
Antofagasta,2021-05-11,1478.0,223.0
Antofagasta,2021-06-08,1334.0,-144.0
Antofagasta,2021-06-09,1402.0,68.0
Antofagasta,2021-06-12,1532.0,130.0
Antofagasta,2021-07-05,1069.0,-463.0
Antofagasta,2021-07-06,1162.0,93.0
Arica y Parinacota,2020-01-07,22.0,0.0
Arica y Parinacota,2020-02-10,154.0,132.0
Arica y Parinacota,2020-02-11,193.0,39.0
Arica y Parinacota,2020-03-08,69.0,-124.0
Arica y Parinacota,2020-04-09,117.0,48.0
Arica y Parinacota,2020-04-12,217.0,100.0
Arica y Parinacota,2020-05-07,23.0,-194.0
Arica y Parinacota,2020-05-10,158.0,135.0
Arica y Parinacota,2020-06-11,198.0,40.0
Arica y Parinacota,2020-07-08,76.0,-122.0
Arica y Parinacota,2020-07-09,122.0,46.0
Arica y Parinacota,2020-07-12,219.0,97.0
Arica y Parinacota,2020-09-10,160.0,-59.0
Arica y Parinacota,2020-09-11,199.0,39.0
Arica y Parinacota,2020-10-07,25.0,-174.0
Arica y Parinacota,2020-10-08,80.0,55.0
Arica y Parinacota,2020-11-09,129.0,49.0
Arica y Parinacota,2020-11-12,221.0,92.0
Arica y Parinacota,2020-12-06,10.0,-211.0
Arica y Parinacota,2020-12-10,162.0,152.0
Arica y Parinacota,2021-01-01,234.0,72.0
Arica y Parinacota,2021-01-02,267.0,33.0
Arica y Parinacota,2021-01-03,314.0,47.0
Arica y Parinacota,2021-01-10,652.0,338.0
Arica y Parinacota,2021-01-11,675.0,23.0
Arica y Parinacota,2021-02-04,408.0,-267.0
Arica y Parinacota,2021-02-07,573.0,165.0
Arica y Parinacota,2021-02-08,596.0,23.0
Arica y Parinacota,2021-03-05,450.0,-146.0
Arica y Parinacota,2021-03-09,626.0,176.0
Arica y Parinacota,2021-03-12,695.0,69.0
Arica y Parinacota,2021-04-01,237.0,-458.0
Arica y Parinacota,2021-04-06,523.0,286.0
Arica y Parinacota,2021-04-10,656.0,133.0
Arica y Parinacota,2021-05-02,271.0,-385.0
Arica y Parinacota,2021-05-03,330.0,59.0
Arica y Parinacota,2021-05-04,413.0,83.0
Arica y Parinacota,2021-05-07,584.0,171.0
Arica y Parinacota,2021-05-11,677.0,93.0
Arica y Parinacota,2021-06-08,602.0,-75.0
Arica y Parinacota,2021-06-09,627.0,25.0
Arica y Parinacota,2021-06-12,697.0,70.0
Arica y Parinacota,2021-07-05,460.0,-237.0
Arica y Parinacota,2021-07-06,536.0,76.0
Atacama,2020-01-07,2.0,0.0
Atacama,2020-02-10,66.0,64.0
Atacama,2020-02-11,91.0,25.0
Atacama,2020-03-08,13.0,-78.0
Atacama,2020-04-09,48.0,35.0
Atacama,2020-04-12,105.0,57.0
Atacama,2020-05-07,4.0,-101.0
Atacama,2020-05-10,68.0,64.0
Atacama,2020-06-11,94.0,26.0
Atacama,2020-07-08,17.0,-77.0
Atacama,2020-07-09,50.0,33.0
Atacama,2020-07-12,105.0,55.0
Atacama,2020-09-10,70.0,-35.0
Atacama,2020-09-11,96.0,26.0
Atacama,2020-10-07,6.0,-90.0
