Fecha,Origen,Destino,Viajes
2020-03-01,Cerrillos,Cerro Navia,31
2020-03-01,Cerrillos,Conchali,84
2020-03-01,Cerrillos,El Bosque,85
2020-03-01,Cerrillos,Estacion Central,1218
2020-03-01,Cerrillos,Huechuraba,18
2020-03-01,Cerrillos,Independencia,85
2020-03-01,Cerrillos,La Cisterna,238
2020-03-01,Cerrillos,La Florida,267
2020-03-01,Cerrillos,La Granja,37
2020-03-01,Cerrillos,La Pintana,30
2020-03-01,Cerrillos,La Reina,150
2020-03-01,Cerrillos,Las Condes,406
2020-03-01,Cerrillos,Lo Barnechea,31
2020-03-01,Cerrillos,Lo Espejo,545
2020-03-01,Cerrillos,Lo Prado,122
2020-03-01,Cerrillos,Macul,71
2020-03-01,Cerrillos,Maipu,2175
2020-03-01,Cerrillos,Nunoa,455
2020-03-01,Cerrillos,Pedro Aguirre Cerda,216
2020-03-01,Cerrillos,Penalolen,103
2020-03-01,Cerrillos,Providencia,802
2020-03-01,Cerrillos,Pudahuel,94
2020-03-01,Cerrillos,Puente Alto,123
2020-03-01,Cerrillos,Quilicura,77
2020-03-01,Cerrillos,Quinta Normal,114
2020-03-01,Cerrillos,Recoleta,216
2020-03-01,Cerrillos,Renca,66
2020-03-01,Cerrillos,San Bernardo,122
2020-03-01,Cerrillos,San Joaquin,104
2020-03-01,Cerrillos,San Miguel,234
2020-03-01,Cerrillos,San Ramon,51
2020-03-01,Cerrillos,Santiago,2059
2020-03-01,Cerrillos,Vitacura,40
2020-03-01,Cerro Navia,Conchali,54
2020-03-01,Cerro Navia,El Bosque,29
2020-03-01,Cerro Navia,Estacion Central,932
2020-03-01,Cerro Navia,Huechuraba,35
2020-03-01,Cerro Navia,Independencia,80
2020-03-01,Cerro Navia,La Cisterna,98
2020-03-01,Cerro Navia,La Florida,263
2020-03-01,Cerro Navia,La Granja,6
2020-03-01,Cerro Navia,La Pintana,18
2020-03-01,Cerro Navia,La Reina,87
2020-03-01,Cerro Navia,Las Condes,434
2020-03-01,Cerro Navia,Lo Barnechea,52
2020-03-01,Cerro Navia,Lo Espejo,28
2020-03-01,Cerro Navia,Lo Prado,864
2020-03-01,Cerro Navia,Macul,90
